query_id	row_index	label	source	name	country	naics_code	naics_label	description	offerings
q01	0	irrelevant	country	Rompetrol	ro	324110	Petroleum Refineries	Rompetrol is a Romanian company specialized in petroleum refining, petrochemical operations, and the distribution of fuel products. The company operates as a subsidiary of KMG International and manages integrated refineries in Romania, Moldova, Bulgaria, and Georgia, serving the automotive, industrial, and energy sectors. Rompetrol also provides industrial products, wholesale fuel supply, and e-Mobility services, and is certified for quality, health, safety, and environmental management.	Fuel Product Distribution; Quality and Safety Compliance Services; Petrochemical Product Manufacturing; E-Mobility Solutions Implementation; Petroleum Refining and Distribution; Premium Fuel Retail; LPG Gas Production and Distribution; Sustainable Energy Solutions Development; Environmental Impact Reduction Consulting; Regional Energy Trading Services; Industrial Fuel Supply Services; Wholesale Fuel and Petrochemical Product Sales; Upstream Oil and Gas Services
q01	1	irrelevant	country	Unilever	ro	424690	Other Chemical and Allied Products Merchant Wholesalers	Unilever South Central Europe SA, DBA Unilever, is a Romanian company specialized in the distribution and retail of consumer goods, with a focus on personal care and household products. The company serves the Romanian market and is part of the Unilever Group, which operates globally. Unilever România also engages in digital initiatives, including platforms for suppliers and customers, and is committed to sustainability and social responsibility.	Consumer Goods Distribution and Retail; Ingredient Information and Allergy Support Services; Digital Customer Platform Services; Digital Supplier Platform Services; Household Products Distribution and Retail; Consumer Goods Research and Development; Sustainable Product Development; Personal Care Products Distribution and Retail
q01	2	irrelevant	country	Rompetrol	ro	324110	Petroleum Refineries	Rompetrol is a Romanian energy company engaged in refining, petrochemicals, and retail operations, as well as providing well services in the upstream sector. The company supplies fuels and related products to both individual and business clients in Romania, Moldova, Bulgaria, Georgia, and Kazakhstan, and is involved in the development of energy projects through its participation in the Kazakh-Romanian Energy Investment Fund. Rompetrol also manages a supply chain and logistics network to support its operations and is committed to sustainability and decarbonization initiatives.	Sustainable Energy Solutions; Fuel and Energy Product Retail; Energy Project Development; Petrochemical Product Manufacturing; Consumer Energy Product Retail; Decarbonization and Green Energy Solutions; Energy Product Refining; Energy Product Innovation and Development; Industrial Energy Product Distribution; Energy Sector Investment Services; Upstream Well Services; Industrial Energy Services; Business Energy Product Retail
q01	3	irrelevant	country	CBRE Romania	ro	531210	Offices of Real Estate Agents and Brokers	CBRE Romania is a Romanian company engaged in commercial real estate services and investment, providing integrated solutions such as investment, finance, value creation, planning, leasing, occupancy, design, building, property management, and portfolio management. The company serves clients in sectors including hotels, office, retail, industrial, logistics, and alternative property types, as well as data center services. CBRE Romania also offers transaction management, project management, design and build services, property rental, strategic consulting, property sales, mortgage services, and development services. The company is part of the CBRE Group, Inc., and is committed to sustainability, with a focus on minimizing environmental impact and promoting a sustainable future.	Data Center Real Estate Services; Real Estate Research and Analysis Services; Mortgage and Capital Markets Services; Portfolio Management Services; Property Investment and Finance Services; Project Management Services; Property Development and Construction Services; Sustainability Integration Consulting; Property Valuation and Appraisal Services; Property Design and Build Services; Property Leasing and Occupancy Services; Property Management and Marketing Services; Corporate Real Estate Advisory Services; Commercial Real Estate Services; Strategic Real Estate Consulting
q01	4	irrelevant	country	TIMAC AGRO	ro	325311	Nitrogenous Fertilizer Manufacturing	TIMAC AGRO S.R.L. is a French agricultural company engaged in the development, production, and distribution of plant nutrition, animal nutrition, and biostimulation solutions for farmers and agricultural producers. The company operates globally, with a presence in Europe, America, Asia, and Africa, and collaborates with scientific institutes and universities to advance its research and development activities. TIMAC AGRO also engages in sustainable agriculture practices and environmental responsibility.	Agricultural Product Retail; Fertilizer Manufacturing; Sustainable Agriculture Solution Development; Soil Conditioner Manufacturing; Plant Nutrition Product Manufacturing; Biostimulant Manufacturing; Agricultural Product Manufacturing; Animal Production Solution Manufacturing; Agricultural Product Wholesale; Agricultural Research and Development; Agricultural Product Exporting; Agricultural Product Innovation Services; Agricultural Consulting Services; Animal Nutrition Product Manufacturing; Agricultural Product Distribution; Agricultural Product Supply Chain Management
q01	5	irrelevant	country	OMV	ro	457120	Other Gasoline Stations	OMV PETROM Marketing SRL is a Romanian company engaged in the natural gas and oil industry, operating in the Exploration & Production, Refining & Marketing, and Chemicals sectors. The company provides products and services such as gasoline, diesel, aviation fuel, bitumen, and chemical products, and manages fuel stations and gas storage facilities across multiple European countries. OMV also offers e-mobility solutions and is involved in sustainability initiatives, including circular economy solutions and carbon emission reduction.	Bitumen Sales; Gas Storage Facility Management; Oil and Natural Gas Marketing; Oil and Natural Gas Exploration and Production; Circular Economy Solutions Development; Marketing Campaign Execution; Gasoline and Diesel Fuel Sales; Fuel Card Services; Chemical Products Sales; Oil and Natural Gas Refining; Sustainable Energy Solutions Implementation; E-Mobility Solutions Development; Fuel Distribution and Retail; Aviation Fuel Sales; Supply Chain Logistics Services
q01	6	partial	country	Compania Națională de Căi Ferate CFR	ro	488210	Support Activities for Rail Transportation	Compania Națională de Căi Ferate ”CFR” – SA, known as Compania Națională de Căi Ferate CFR, is a Romanian state-owned company responsible for the management and maintenance of the national railway infrastructure. The company oversees both public and private railway networks, providing access to terminals and stations, and offers services such as ticket sales and information. It also manages railway modernization and infrastructure development projects, including European Union-funded initiatives, and is involved in public procurement processes. The company is a member of international railway organizations and is certified for its operations.	Scenic and Tourist Rail Transport Services; Freight Rail Transport Services; Railway Modernization Project Development; Interoperable Rail Network Enhancement; Railway Network Operation; Railway Infrastructure Management; Railway Telecommunications Services; Ticket Sales and Information Services; Railway Infrastructure Development Services; Public Procurement and Contract Management; Passenger Rail Transport Services; International Railway Cooperation and Representation; Noise Reduction and Environmental Protection Projects; Auxiliary Electric Traction Services
q01	7	irrelevant	country	Mercedes-Benz Trucks & Buses Romania	ro	441110	New Car Dealers	Daimler Truck & Bus Romania S.R.L., DBA Mercedes-Benz Trucks & Buses Romania, is a Romanian company specialized in the distribution and servicing of Mercedes-Benz trucks and buses. The company operates as a service provider and distributor in the automotive sector, offering vehicle sales, maintenance, repair, and eMobility solutions, as well as fleet management services. It serves clients through a network of authorized service centers and a dedicated claims assistance team.	Claims Assistance Services; Advanced Vehicle Diagnostics Services; Mechanical and Electrical Repair Services; Fleet Management Solutions; Long-Term Vehicle Maintenance Contracts; Truck and Bus Sales; Sustainability-Focused Vehicle Solutions; eMobility Solutions; Truck and Bus Maintenance and Repair
q01	8	irrelevant	country	Dacia	ro	336110	Automobile and Light Duty Motor Vehicle Manufacturing	Renault Commercial Roumanie S.R.L., DBA Dacia, is a Romanian automotive company engaged in the production and distribution of passenger and commercial vehicles. The company operates as a manufacturer and distributor, offering a range of vehicles and providing services such as vehicle financing, trade-in options, and maintenance contracts. Dacia also offers electric and mild hybrid vehicles, participates in government programs for environmentally friendly vehicles, and maintains a network of authorized dealers and an online platform for vehicle sales. The company is part of the Renault Commercial Group and is associated with Renault.	Passenger Vehicle Manufacturing; Vehicle Accessories Retail; Mild Hybrid Vehicle Manufacturing; Vehicle Maintenance and Warranty Services; Vehicle Retail; Vehicle Distribution; Electric Vehicle Manufacturing; Vehicle Trade-In Services; Online Vehicle Retail; Vehicle Manufacturing; Commercial Vehicle Manufacturing; Vehicle Financing Services
q01	9	irrelevant	country	Fildas Trading	ro	424210	Drugs and Druggists' Sundries Merchant Wholesalers	Fildas Trading SRL is a Romanian company engaged in the import, distribution, and retail of nutritional supplements, pharmaceuticals, dermatological cosmetics, and technical-medical products. The company operates as a wholesaler, distributor, and retailer, supplying pharmaceutical products to retail locations and pharmacies through a network of logistics centers and regional warehouses. Fildas Trading also manages a pharmacy network under the Catena brand and maintains a transport fleet for national distribution. The company is certified and serves clients across Romania.	Healthcare System Improvement Consulting; Technical-Medical Products Retail; Pharmaceutical Products Wholesale and Distribution; Nutritional Supplements Importing and Distribution; Technical-Medical Products Importing and Distribution; Nutritional Supplements Retail; Healthcare Product Innovation Services; Dermatological Cosmetics Retail; Dermatological Cosmetics Importing and Distribution; Pharmaceutical Products Retail; Healthcare Product Logistics and Distribution; Pharmacy Network Management and Expansion
